8400 D loss: 0.148071, acc.: 93.75%, G loss: 0.151571, time: 0:23:16.381471
8450 D loss: 0.042608, acc.: 100.00%, G loss: 0.172985, time: 0:23:24.629078
8500 D loss: 0.056039, acc.: 98.44%, G loss: 0.223283, time: 0:23:32.873511
8550 D loss: 0.076474, acc.: 98.44%, G loss: 0.162057, time: 0:23:41.117440
8600 D loss: 0.034139, acc.: 100.00%, G loss: 0.167629, time: 0:23:49.372205
8650 D loss: 0.051659, acc.: 98.44%, G loss: 0.180265, time: 0:23:57.626304
8700 D loss: 0.103138, acc.: 98.44%, G loss: 0.193926, time: 0:24:05.881129
8750 D loss: 0.051080, acc.: 100.00%, G loss: 0.158972, time: 0:24:14.127635
8800 D loss: 0.017844, acc.: 100.00%, G loss: 0.183588, time: 0:24:22.388635
8850 D loss: 0.029876, acc.: 98.44%, G loss: 0.157336, time: 0:24:30.691229
8900 D loss: 0.265013, acc.: 90.62%, G loss: 0.187228, time: 0:24:38.959102
8950 D loss: 0.074707, acc.: 95.31%, G loss: 0.198031, time: 0:24:47.223593
9000 D loss: 0.071332, acc.: 96.88%, G loss: 0.193414, time: 0:24:55.471113
9050 D loss: 0.043472, acc.: 98.44%, G loss: 0.222593, time: 0:25:03.721221
9100 D loss: 0.091844, acc.: 96.88%, G loss: 0.170823, time: 0:25:11.975752
9150 D loss: 0.057779, acc.: 100.00%, G loss: 0.145965, time: 0:25:20.234063
9200 D loss: 0.036812, acc.: 100.00%, G loss: 0.193253, time: 0:25:28.505623
9250 D loss: 0.149791, acc.: 92.19%, G loss: 0.139197, time: 0:25:36.779468
9300 D loss: 0.035670, acc.: 98.44%, G loss: 0.159255, time: 0:25:45.047570
9350 D loss: 0.103573, acc.: 96.88%, G loss: 0.206049, time: 0:25:53.296470
9400 D loss: 0.045915, acc.: 98.44%, G loss: 0.203482, time: 0:26:01.549380
9450 D loss: 0.088433, acc.: 95.31%, G loss: 0.146196, time: 0:26:09.809032
9500 D loss: 0.126666, acc.: 93.75%, G loss: 0.153596, time: 0:26:18.047097
9550 D loss: 0.061668, acc.: 98.44%, G loss: 0.174501, time: 0:26:26.294943
9600 D loss: 0.040198, acc.: 98.44%, G loss: 0.173540, time: 0:26:34.531665
9650 D loss: 0.065495, acc.: 98.44%, G loss: 0.153330, time: 0:26:42.750003
9700 D loss: 0.068146, acc.: 98.44%, G loss: 0.195494, time: 0:26:51.004921
9750 D loss: 0.022291, acc.: 100.00%, G loss: 0.194516, time: 0:26:59.227678
9800 D loss: 0.024899, acc.: 100.00%, G loss: 0.211199, time: 0:27:07.496966
9850 D loss: 0.044113, acc.: 98.44%, G loss: 0.151383, time: 0:27:15.739149
9900 D loss: 0.028562, acc.: 100.00%, G loss: 0.157355, time: 0:27:23.966712
9950 D loss: 0.037748, acc.: 100.00%, G loss: 0.168746, time: 0:27:32.188075
10000 D loss: 0.021308, acc.: 100.00%, G loss: 0.143764, time: 0:27:40.365878
10050 D loss: 0.051286, acc.: 98.44%, G loss: 0.141124, time: 0:27:46.949483
10100 D loss: 0.105506, acc.: 95.31%, G loss: 0.139001, time: 0:27:53.636016
10150 D loss: 0.064273, acc.: 98.44%, G loss: 0.180308, time: 0:28:00.222111
10200 D loss: 0.040721, acc.: 98.44%, G loss: 0.156471, time: 0:28:06.805926
10250 D loss: 0.065145, acc.: 96.88%, G loss: 0.155354, time: 0:28:13.316760
10300 D loss: 0.051342, acc.: 98.44%, G loss: 0.118429, time: 0:28:19.814636
10350 D loss: 0.117468, acc.: 96.88%, G loss: 0.126994, time: 0:28:26.307802
10400 D loss: 0.714827, acc.: 67.19%, G loss: 0.261294, time: 0:28:32.848701
10450 D loss: 0.104024, acc.: 96.88%, G loss: 0.148187, time: 0:28:39.420727
10500 D loss: 0.039295, acc.: 98.44%, G loss: 0.053882, time: 0:28:45.964812
10550 D loss: 0.045703, acc.: 98.44%, G loss: 0.165674, time: 0:28:52.506577
10600 D loss: 0.039577, acc.: 100.00%, G loss: 0.071421, time: 0:28:58.954052
10650 D loss: 0.067355, acc.: 98.44%, G loss: 0.255051, time: 0:29:05.489721
10700 D loss: 0.072852, acc.: 96.88%, G loss: 0.134674, time: 0:29:11.979761
10750 D loss: 0.046185, acc.: 98.44%, G loss: 0.059578, time: 0:29:18.357670
10800 D loss: 0.117052, acc.: 96.88%, G loss: 0.103253, time: 0:29:25.028978
10850 D loss: 0.017017, acc.: 100.00%, G loss: 0.118967, time: 0:29:31.644967
10900 D loss: 0.073574, acc.: 96.88%, G loss: 0.244427, time: 0:29:38.233036
