13200 D_loss: 0.301501 , acc.: 89.06% , G_loss: 0.086941 , time: 0:30:53.235785
13250 D_loss: 0.250312 , acc.: 96.88% , G_loss: 0.057049 , time: 0:30:59.855347
13300 D_loss: 0.245147 , acc.: 90.62% , G_loss: 0.077262 , time: 0:31:06.505772
13350 D_loss: 0.256597 , acc.: 92.19% , G_loss: 0.053291 , time: 0:31:13.137669
13400 D_loss: 0.393150 , acc.: 82.81% , G_loss: 0.071058 , time: 0:31:19.750802
13450 D_loss: 0.304349 , acc.: 89.06% , G_loss: 0.073047 , time: 0:31:26.367849
13500 D_loss: 0.270866 , acc.: 93.75% , G_loss: 0.081805 , time: 0:31:33.018282
13550 D_loss: 0.257442 , acc.: 93.75% , G_loss: 0.065462 , time: 0:31:39.671597
13600 D_loss: 0.253469 , acc.: 93.75% , G_loss: 0.086489 , time: 0:31:46.307818
13650 D_loss: 0.339817 , acc.: 84.38% , G_loss: 0.067156 , time: 0:31:52.988261
13700 D_loss: 0.279452 , acc.: 87.50% , G_loss: 0.064664 , time: 0:31:59.645589
13750 D_loss: 0.272119 , acc.: 90.62% , G_loss: 0.067245 , time: 0:32:06.279929
13800 D_loss: 0.279091 , acc.: 85.94% , G_loss: 0.051323 , time: 0:32:12.925731
13850 D_loss: 0.227434 , acc.: 92.19% , G_loss: 0.070216 , time: 0:32:19.576401
13900 D_loss: 0.234527 , acc.: 93.75% , G_loss: 0.077469 , time: 0:32:26.209754
13950 D_loss: 0.273952 , acc.: 89.06% , G_loss: 0.075725 , time: 0:32:32.856552
14000 D_loss: 0.227097 , acc.: 93.75% , G_loss: 0.085709 , time: 0:32:39.493493
14050 D_loss: 0.392345 , acc.: 82.81% , G_loss: 0.067112 , time: 0:32:46.154999
14100 D_loss: 0.336706 , acc.: 90.62% , G_loss: 0.074567 , time: 0:32:52.795805
14150 D_loss: 0.270578 , acc.: 92.19% , G_loss: 0.064937 , time: 0:32:59.434835
14200 D_loss: 0.299131 , acc.: 92.19% , G_loss: 0.067339 , time: 0:33:06.090222
14250 D_loss: 0.220690 , acc.: 93.75% , G_loss: 0.060503 , time: 0:33:12.731821
14300 D_loss: 0.267630 , acc.: 93.75% , G_loss: 0.070613 , time: 0:33:19.364488
